movieTitle,movieQualityProfileId
Band of Brothers (2001) (TV miniseries),2160p
The Pacific (2010) (TV miniseries),2160p
101 Dalmatians (1961),1080p
12 Angry Men (1957),1080p
1776 (1972),1080p
"20,000 Leagues Under the Sea (1954)",1080p
2001: A Space Odyssey (1968),1080p
28 Days Later (2002),1080p
3:10 to Yuma (1957),1080p
500 Days of Summer (2009),1080p
8½ (1963),1080p
A Beautiful Mind (2001),1080p
A Bridge Too Far (1977),1080p
A Bronx Tale (1993),1080p
A Bug's Life (1998),1080p
A Charlie Brown Christmas (1965),1080p
A Charlie Brown Thanksgiving (1973),1080p
A Christmas Carol (1938),1080p
A Christmas Carol (1951),1080p
A Christmas Carol (2009),1080p
A Christmas Story (1983),1080p
A Clockwork Orange (1971),1080p
A Fistful of Dollars (1964),1080p
A League of Their Own (1992),1080p
A Little Princess (1995),1080p
A Nightmare on Elm Street (1984),1080p
A River Runs Through It (1992),1080p
A Scanner Darkly (2006),1080p
A Simple Plan (1998),1080p
A Sound of Thunder (2005),1080p
A Star is Born (1954),1080p
A Streetcar Named Desire (1951),1080p
A Time for Miracles (1980),1080p
A Walk to Remember (2002),1080p
A Walton Thanksgiving Reunion (1993),1080p
Addams Family Values (1993),1080p
Air Force One (1997),1080p
Airplane! (1980),1080p
Akira (1988),1080p
Aladdin (1992),1080p
Alexander (2004),1080p
Ali (2001),1080p
Alice in Wonderland (1951),1080p
Alien (1979),1080p
Aliens (1986),1080p
All Quiet on the Western Front (1930),1080p
All That Heaven Allows (1955),1080p
All the President's Men (1976),1080p
Altered States (1980),1080p
Amadeus (1984),1080p
Amélie (2001),1080p
American Beauty (1999),1080p
American Gangster (2007),1080p
American Graffiti (1973),1080p
American History X (1998),1080p
American Psycho (2000),1080p
An American Werewolf in London (1981),1080p
An Old Fashioned Thanksgiving (2008),1080p
Anchorman: The Legend of Ron Burgundy (2004),1080p
Annie Hall (1977),1080p
Another 48 Hrs. (1990),1080p
Anvil! The Story of Anvil (2008),1080p
Any Given Sunday (1999),1080p
Apocalypse Now (1979),1080p
Apocalypto (2006),1080p
Apollo 13 (1995),1080p
Arlington Road (1999),1080p
Armageddon (1998),1080p
Atlantis: The Lost Empire (2001),1080p
Atonement (2007),1080p
Avalon (1990),1080p
Avatar (2009),1080p
Babe (1995),1080p
Babes in Toyland (1934),1080p
Bad Santa (2003),1080p
Bambi (1942),1080p
Barry Lyndon (1975),1080p
Basic Instinct (1992),1080p
Batman & Robin (1997),1080p
Batman (1966),1080p
Batman (1989),1080p
Batman Begins (2005),1080p
Batman Forever (1995),1080p
Batman Returns (1992),1080p
Battlefield Earth (2000),1080p
Beauty and the Beast (1991),1080p
Bedknobs and Broomsticks (1971),1080p
Before Sunrise (1995),1080p
Before Sunset (2004),1080p
Ben-Hur (1959),1080p
Bend It Like Beckham (2002),1080p
Beverly Hills Cop (1984),1080p
Big Fish (2003),1080p
Black Hawk Down (2001),1080p
Blade Runner (1982),1080p
Blazing Saddles (1974),1080p
Blow Out (1981),1080p
Blue Velvet (1986),1080p
Bolt (2008),1080p
Borat (2006),1080p
Born into Brothels: Calcutta's Red Light Kids (2004),1080p
Born on the Fourth of July (1989),1080p
Bowling for Columbine (2002),1080p
Brave New World (1998),1080p
Braveheart (1995),1080p
Breaking Away (1979),1080p
Breathless (1960),1080p
Brick (2005),1080p
Bridge to Terabithia (2007),1080p
Bridget Jones's Diary (2001),1080p
Brokeback Mountain (2005),1080p
Brother Bear (2003),1080p
Brothers Keeper (1992),1080p
Bull Durham (1988),1080p
Butch Cassidy and the Sundance Kid (1969),1080p
Caddyshack (1980),1080p
Candyman (1992),1080p
Cane Toads: An Unnatural History (1988),1080p
Cape Fear (1991),1080p
Capturing the Friedmans (2003),1080p
Carrie (1976),1080p
Cars (2006),1080p
Casablanca (1942),1080p
Casino (1995),1080p
Casino Royale (2006),1080p
Catch Me If You Can (2002),1080p
Catch-22 (1970),1080p
Chariots of Fire (1981),1080p
